season,round,pick,team,pfr_player_id,pfr_player_name,college,position,position_rank,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,unique_id,college_carries,college_tds,college_yards,college_long,college_ypc,pfr_id,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,receptions,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,fantasy_points
2015,1,10,STL,GurlTo01,Todd Gurley,Georgia,RB,RB1,6-1,222.0,4.52,17.0,,,,,toddgurleyrbgeorgia,,,,,,GurlTo01,229.0,1106.0,10.0,3.0,1.0,21.0,188.0,0.0,0.0,0.0,208.4
2015,1,15,SDG,GordMe00,Melvin Gordon,Wisconsin,RB,RB2,6-1,215.0,4.52,19.0,35.0,126.0,7.04,4.07,melvingordonrbwisconsin,631.0,45.0,4915.0,88.0,7.8,GordMe00,184.0,641.0,0.0,5.0,4.0,33.0,192.0,0.0,1.0,0.0,108.3
2015,2,36,JAX,YeldT.00,T.J. Yeldon,Alabama,RB,RB3,6-1,226.0,4.61,22.0,36.0,117.0,7.19,4.22,tjyeldonrbalabama,576.0,37.0,3322.0,68.0,5.8,YeldT.00,182.0,740.0,2.0,0.0,0.0,36.0,279.0,1.0,0.0,0.0,155.9
2015,2,54,DET,AbduAm00,Ameer Abdullah,Nebraska,RB,RB4,5-9,205.0,4.6,24.0,42.5,130.0,6.79,3.95,ameerabdullahrbnebraska,813.0,39.0,4588.0,62.0,5.6,AbduAm00,143.0,597.0,2.0,4.0,2.0,25.0,183.0,1.0,0.0,0.0,117.0
2015,3,73,ATL,ColeTe01,Tevin Coleman,Indiana,RB,RB5,5-11,206.0,4.4,22.0,,,,,tevincolemanrbindiana,452.0,28.0,3219.0,90.0,7.1,ColeTe01,87.0,392.0,1.0,3.0,3.0,2.0,14.0,0.0,0.0,0.0,42.6
2015,3,77,CLE,JohnDu00,Duke Johnson,Miami (FL),RB,RB6,5-9,207.0,4.54,,33.5,121.0,,,dukejohnsonrbmiamifl,,,,,,JohnDu00,104.0,379.0,0.0,0.0,0.0,61.0,534.0,2.0,1.0,0.0,164.3
2015,3,86,ARI,JohnDa08,David Johnson,Northern Iowa,RB,RB7,6-1,224.0,4.5,25.0,41.5,127.0,6.82,4.27,davidjohnsonrbnortherniowa,88.0,4.0,410.0,37.0,4.7,JohnDa08,125.0,581.0,8.0,2.0,0.0,36.0,457.0,4.0,1.0,0.0,211.8
2015,3,95,WAS,JoneMa04,Matt Jones,Florida,RB,RB8,6-2,231.0,4.61,20.0,31.5,112.0,,4.2,mattjonesrbflorida,297.0,11.0,1431.0,67.0,4.8,JoneMa04,144.0,490.0,3.0,4.0,3.0,19.0,304.0,1.0,1.0,0.0,116.4
2015,4,106,CHI,LangJe00,Jeremy Langford,Michigan St.,RB,RB9,6-0,208.0,4.42,,34.5,118.0,7.22,4.32,jeremylangfordrbmichiganst,577.0,40.0,2967.0,65.0,5.1,LangJe00,148.0,537.0,6.0,0.0,0.0,22.0,279.0,1.0,0.0,0.0,145.6
2015,4,125,BAL,AlleJa01,Javorius Allen,USC,RB,RB10,6-0,221.0,4.53,11.0,35.5,121.0,6.96,4.28,javoriusallenrbusc,417.0,25.0,2306.0,79.0,5.5,AlleJa01,137.0,514.0,1.0,2.0,2.0,45.0,353.0,2.0,0.0,0.0,145.7
2015,4,126,SFO,DaviMi01,Mike Davis,South Carolina,RB,RB11,5-9,217.0,4.61,17.0,34.0,116.0,7.0,4.18,mikedavisrbsouthcarolina,454.0,22.0,2440.0,75.0,5.4,DaviMi01,35.0,58.0,0.0,0.0,0.0,7.0,38.0,0.0,0.0,0.0,16.6
